"Abdu__Rotem","Abrahamson__Dor","Acosta__Alisa","Adanır__Gülgün_Afacan","Aditomo__Anindito","Ahn__June","Albrecht__Julia","Allert__Heidrun","Amzalag__Meital","Anderson__Emma","Andrade__Alejandro","Angersbach__Jennifer","Antle__Alissa_Nicole","Arastoopour__Golnaz","Arnedillo-Sanchez__Inmaculada","Arnseth__Hans_Christian","Azevedo__Roger","Baram-Tsabari__Ayelet","Barzilai__Sarit","Ben-Zvi__Dani","Bhatnagar__Sameer","Blikstein__Paulo","Bonsignore__Elizabeth","Borge__Marcela","Boyle__Bryan","Brami__Uzi","Bresser__Nicolas","Bronet__Murray","Buder__Jürgen","Bumbacher__Engin","Caballero__Daniela","Cabo__Candido","Çakır__Murat_Perit","Carafano__Peter","Carvalho__Lucila","Catrambone__Richard","Cerratto-Pargman__Teresa","Chai__Ching_Sing","Chakravarthi__Rohit","Chan__Carol_K.K.","Charles__Elizabeth_S.","Chen__Bodong","Chen__Mei-Hwa","Chen__Wenli","Chounta__Irene-Angelica","Clegg__Tamara","Cober__Rebecca","Collin__Jonas","Cook__Lucas","Cuendet__Sébastien","d'Apollonia__Silvia","Damșa__Crina","Danish__Joshua_A.","Dascalu__Mihai","Dasgupta__Chandan","Davidsen__Jacob","Deiglmayr__Anne","Dessus__Philippe","Dillenbourg__Pierre","Dimitriadis__Yannis","Dolonen__Jan_Arild","Dornfeld__Catherine","Downton__Michael_P.","Duek__Oshra","Dugdale__Michael","Duncan__Sean_C.","Dyke__Gregory","Eimler__Sabrina","Elias__Nelly","Engelmann__Tanja","Enyedy__Noel","Evans__Chad","Evans__Michael_A.","Evenstone__Amanda_L.","Fan__Min","Farnsworth__Jesse","Fauville__Géraldine","Ferschke__Oliver","Fischer__Frank","Flood__Virginia_J.","Fong__Cresencia","Forssell__Karin_S.","Fujita__Wataru","Funk__Alexandra_L.","Gaydos__Matthew","Georgen__Chris","Gil__Alfredo_Jornet","Gnesdilow__Dana","Gnoli__Alessandro","Goggins__Sean","Goodyear__Peter","Guillemette__Jonathan","Guribye__Frode","Hakkarainen__Kai","Häkkinen__Päivi","Hao__Jiangang","Hardy__Lisa","Hartmann__Christian","Hecking__Tobias","Hernwall__Patrik","Hesse__Friedrich_W.","Hirayama__Ryoya","Hmelo-Silver__Cindy_E.","Hoadley__Christopher","Hong__Huang-Yao","Hoppe__H._Ulrich","Howley__Iris","Huang__Lixiao","Huang__Yue","Hung__Guo-Tsai","Israel__Maya","Jan__Mingfong","Järvelä__Sanna","Järvenoja__Hanna","Jeong__Heisawn","Jermann__Patrick","Jona__Kemi","Joyce-Gibbons__Andrew","Judson__Darlene","Kali__Yael","Karlström__Petter","Ke__Fengfeng","Kent__Carmel","Khoo__Michael","Khosronejad__Maryam","Kidron__Adi","Kim__Beaumie","Kim__So_Mi","Kirschner__Paul_A.","Klopfer__Eric","Kluge__Anders","Knutsson__Ola","Koehler-Yom__Jessica","Kollar__Ingo","Kopp__Daniel","Krämer__Nicole","Krange__Ingeborg","Kubota__Yoshihiko","Kuhn__Alex","Kunicki__Suzanne","Kyewski__Elias","Kyllonen__Patrick","Lansiquot__Reneta_D.","Lantz-Andersson__Annika","Laru__Jari","Laslo__Esther","Lasry__Nathaniel","Lee__Christine","Lee__Jiyeon","Lehtinen__Erno","Lenton__Kevin","Levy__Keren_S.","Ligorio__Beatrice","Lin__Feng","Linn__Marcia_C.","Liu__Lei","Liu__Yu","Loibl__Katharina","Looi__Chee-Kit","Lu__Lin","Lui__Michelle","Lundin__Mona","Ma__Leanne","Macaranas__Anna","Mäkitalo__Åsa","Malmberg__Jonna","Manske__Sven","Margulieux__Lauren_E.","Martin__Nicole_D.","Martin__Seth_A.","Martinez-Maldonado__Roberto","Matsuzawa__Yoshiaki","Matuk__Camillia","May__Aaron","Mazziotti__Claudia","McCracken__W._Michael","McNamara__Danielle_S.","Mercier__Emma","Messina__Richard","Mochizuki__Toshio","Moher__Tom","Mu__Jin","Mudrick__Nicholas","Murray__Julia","Näykki__Piia","Neff__Michael","Neubaum__German","Nistor__Nicolae","Ong__Yann_Shiou","Oshima__Jun","Oshima__Ritsuko","Oztok__Murat","Parisio__Martin","Pauw__Daniel","Pea__Roy_D.","Peebles__Ben","Penney__Lauren","Peppler__Kylie","Perritano__Anthony","Pöysä-Tarhonen__Johanna","Prieto__Luis_P.","Puhl__Thomas","Puntambekar__Sadhana","Quek__Choon_Lang","Quignard__Matthieu","Quintana__Chris","Rädle__Roman","Rafaeli__Sheizaf","Reichersdorfer__Elisabeth","Reimann__Peter","Reiss__Kristina","Richard__Gabriela_T.","Richter__Christoph","Rick__Jochen","Ritella__Giuseppe","Rodriguez__James","Rosé__Carolyn_Penstein","Rossitto__Chiara","Ruhl__Elisa","Rummel__Nikol","Ryberg__Thomas","Saleh__Asmalina","Säljö__Roger","Sarenius__Vesa-Matti","Sasaki__Hiroshi","Scardamalia__Marlene","Scheintaub__Hal","Schmitt__Lara","Schneider__Bertrand","Schoenfeld__Ilana","Schubert__Michael","Shaffer__David_Williamson","Sharma__Kshitij","Shehab__Saadeddine","Sheldon__Josh","Silva__Alexandra","Silva__Brenda_López","Slotta__James_D.","So__Hyo-Jeong","Stahl__Gerry","Stegmann__Karsten","Stevens__Reed","Sun__Yanqing","Sun__Zhiru","Suzuki__Hideyuki","Tabak__Iris","Tal__Tali","Tan__Esther","Tao__Dan","Tarnai__Christian","Taub__Michelle","Tchounikine__Pierre","Thiemann__Daniel","Thompson__Kate","Tomar__Gaurav","Trausan-Matu__Stefan","Trăușan-Matu__Ștefan","Tsovaltzi__Dimitra","Uchidiuno__Judith","Ufer__Stefan","van_Aalst__Jan","Verma__Himanshu","Vogel__Freydis","von_Davier__Alina","Wake__Jo_Dugstad","Wakimoto__Takehiro","Walker__Erin","Wang__Patrick","Wang__Qiyun","Wardak__Dewa","Warren__Jillian","Wasson__Barbara","Weinberger__Armin","Weiss__Patrice_L.","Wen__Miaomiao","Wen__Yun","Wendel__Daniel","Werneburg__Sören","White__Tobin","Whittaker__Chris","Wichmann__Astrid","Wise__Alyssa_Friend","Wylie__Ruth","Xie__Kui","Xie__Wenting","Xing__Wanli","Yang__Diyi","Yang__Yuqin","Yip__Jason_C.","Yoon__Susan_A.","Zahid__Aejaz","Zhang__Jianwei","Ziebarth__Sabrina","Zufferey__Guillaume"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
