"_","Agganis__Aggelici","Ahem__Terence_C.","Ahern__Terence_C.","Ashmore__Lora","Bank__Curtis_Jay","Barfurth__Marion_A.","Baumgartner__Eric","Becker__Frank","Belisle__Claire","Bell__Philip","Bereiter__Carl","Bliss__Traci","Booth__Kellogg_S.","Bowers__Janet","Bras__Bert","Brazile__Robert","Bricker__Lauren_J.","Brophy__Sean_P.","Campbell__Keith","Carlson__David","Cerratto__Teresa","Chan__Tak-Wai","Chou__Chih-Yueh","Christiansen__Ellen","Chyung__Seung-Youn","Clement__John","Cockburn__Andy","Cole__Karen_A.","Collings__Penny","Conlee__Melinda","Crawford__Teresa","D’Amico__Laura","Dalmau__Mary_C.","Davis__Elizabeth_A.","Davis__James_R.","De_Jong__Frank_P._C._M.","Dirckinck-Holmfeld__Lone","Driscoll__Marcy_P.","Duckett__George","Eales__R._T._Jim","Edelson__Daniel_C.","Ekeblad__Eva","Erkens__Gijsbert","Favorin__Marjo","Ferraro__Anne","Filho__Merval_Jurema","Finkel__Elizabeth","Fischer__Gerhard","Fjuk__Annita","Gaines__Brian_R.","Gay__Marty","Geisler__Cheryl","Gerson__Dan","Glenn__Phillip_J.","Goldman__Shelley","Gomez__Louis_M.","Goodrum__David_A.","Greenberg__Saul","Gustafson__Edwin","Gutwin__Carl","Guzdial__Mark","Heeren__Elske","Herrmann__Françoise","Hmelo__Cindy_E.","Hutama__Danny_C.","Huttenlocher__Daniel_P.","Ibsen__David_J._S.","Ide__Akiko","Inkpen__Kori","Jonassen__David_H.","Jurema__Ana_Cristina_L._A.","Kanselaar__Gellof","Kata__Hiroshi","Kato__Hiroshi","Katz__Sandra","Kelly__Gregory_J.","Kent__Todd","King__Kira_S.","Kinzie__Mable","Klawe__Maria","Kolodner__Janet_L.","Koschmann__Timothy","Laczko__Jason","Lan__William","Larsen__Valerie","León__Rigoberto","Lima__Maria_Edite_Costa","Lindeman__Bruce","Lindström__Berner","Linn__Marcia_C.","Mahling__Dirk_E.","Marayanan__En._Hari","Marquez__Jorge","Mazur__Joan","Mcconnell__David","Mccown__R._R.","Mensink__Jos_G._B.","Milter__Richard_G.","Monaghan__James_M.","Moore__Terry_Lee","Moschkovich__Judit","Mulholland__Jim","Nakakoji__Kumiyo","Newsletter__Wendy_C.","Nichols__David_M.","O’Neill__D._Kevin","O’Shea__Tim","Oshima__Jun","Painter__William","Petrushin__Valery","Phillips__Eileen","Powers__Susan_M.","Rappin__Noel","Rathbun__Gail_A.","Realff__Matthew","Rein__Gail_L.","Reiser__Brian_J.","Repenning__Alexander","Repman__Judi","Resta__Paul_E.","Rogers__Edwin","Rothenberg__Alex_I.","Saito__Ron_S.","Salinas__Bertha","Sandoval__William_A.","Scanlon__Eileen","Scardamalia__Marlene","Schneider__Kurt","Schwartz__Helen_J.","Shaw__Mildred_L._G.","Sherman__Lawrence_W.","Shikano__Terry","Shin__Dongil","Shotsberger__Paul_G.","Skogseid__Ingjerd","Smith__Brian_K.","Smith__Gareth","Smith__Karan_B.","Soloway__Elliot","Sorrows__Bryan_B.","Spell__Christopher_G.","Spitulnik__Jeff","Stahl__Gerry","Stark__Gwen","Stephens__Liz_C.","Stinson__John_E.","Studer__Scott","Sugimoto__Taku","Sumner__Tamara","Suthers__Dan","Suzuki__Hideyuki","Swigger__Kathleen_M.","Tabak__Iris","Tanimoto__Steven_L.","Taylor__Josie","Trevor__Jonathan","Turns__Jennifer","Twidale__Michael_B.","Upitis__Rena","Vanegas__Jorge_A.","Walch__James","Walker__David","Wallet__Katherine_B.","Watt__Jeffrey_X.","Weiner__Arlene","Welsh__Jim","Whitelock__Denise","Wiburg__Karin_M.","Winiecki__Donald_J.","Wong__Tina_H.","Yelland__Nicola","Zhao__Yong"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
