"__","Abrams__Lisa","Alex__Kass","Alexander__Richard","Angela__","Antonietti__Alessandro","Ash__Katy","Baar__Joseph","Barstow__Daniel","Beck-Wilson__Jennifer","Becker__Lee_A.","Bell__Benjamin","Bers__Marina_Umaschi","Black__John_B.","Blumenfeld__Phyllis","Boyko__Marie","Bran__","Brophy__Sean_P.","Brown__Matthew","Bruce__Christopher","Burn__Tobi_M.","Butcher__Kirsten","Carey__Tom","Carroll__John_M.","Caster__Helen","Chen__Ted","Ching__Cynthia_Carter","Crespo__Sergio","Crismond__David","Culp__Katherine_McMillan","Dahlqvist__Patric","Day__Roger_S.","Dede__Chris","Dimaraki__Evangelia_V.","Eagleson__Roy","Edelson__Daniel_C.","Eisenberg__Michael","Enyedy__Noel","Fels__Deborah_I.","Fishman__Barry","Fishman__Barry_J.","Fontoura__Marcus_Felipe_M._C._da","Friedman__Wendy","Gifford__Bernard","Gilbert__Stephen_B.","Gold__Sholom","Goldman__Shelley","Goldman__Susan_R.","Gomez__Louis","Gray__Jackie","Grecu__Dan_L.","Greene__Laurence","Hansen__Steven","Harrigan__Kevin","Hester__Peggy_P.","Hmelo__Cindy_E.","Holbrook__Jennifer","Honey__Dr._Margaret","Hopkins__Karen_E.","Huang__Qingshou","Huang__Runhe","Imperio__Ernesto","Ioannidou__Andri","Jackson__Randy","Joe__Herman","John__Aachey_Susan","Joseph__Diana","Jun__Youngcook","Kafai__Yasmin","Kafai__Yasmin_B.","Kantor__Ronald_J.","Karlgren__Klas","Kintsch__Eileen","Kintsch__Walter","Kinzer__Marcy_Singer-Gabella_Charles_K.","Kobza__Michelle","Koehler__Matthew","Kolodner__Janet_L.","Krajcik__Joseph","Kupperman__Jeff","Laurillard__Diana","Lee__Hee-sun","Lee__Soo-Young","Lehrer__Richard","Loftin__R._Bowen","Lucena__Carlos_Jose_P._de","Luckin__Rosemary","Luehmann__April","Ma__Jianhua","Marshall__Sue","Marx__Ron","McCracken__Mike","Miao__Yongwu","Moore__Joyce_L.","Moschkovich__Judit","Narayanan__N._Hari","Neale__Dennis_C.","Ngo__Loan","Osgood__Richard_E.","Oshima__Jun","Oshima__Ritsuko","Palmer__Antonia","Peters__Timothy_W.","Petrosino__Anthony_J.","Pfaffman__Jay","Pfister__Hans-Rüdiger","Pinkard__Nichole","Pinkard__Nichole_D.","Plowman__Lydia","Pollack__Jordan_B.","Puntambekar__Sadhana","Puntembakar__Sadhana","Ramakrishnan__Sailesh","Ramberg__Robert","Ranney__Michael","Rasi__Chiara","Reimer__Todd","Renninger__K._Ann","Repenning__Alexander","Risko__Victoria_J.","Robertson__William_H.","Rubin__Andee","Sacco__Marco","Salzman__Marilyn","Samson__Perry","Schrimpsher__Daniel","Schuh__Kathy_L.","Schwartz__Daniel_L.","Shaffer__David_Williamson","Shirey__William_E.","Singley__Mark_K.","Sklar__Elizabeth","Smith__Graham","Smith__Kevin","Soloway__Elliot","Songer__Nancy_Butler","Stahl__Gerry","Steinbach__Alan","Steinmetz__Ralf","Stratfold__Matthew","Susnowitz__Sally","Taylor__Josie","Taylor__Wayne","Tholander__Jakob","Treviranus__Jutta","Tsikalas__Kallen","Underwood__Jody_S.","Vahey__Phil","VanEsselstyn__David","Walker__Lisa","Waters__Robert","Weidner__Jeanne","Wessner__Martin","Williams__Laurel_A.","Williams__Susan_M.","Winn__William","Worthington__Valerie_L.","Yuasa__Katsutoshi","Zhao__Yong","Zirkel__Jessica","Zola__John"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
